,,2009-10 (1),2010-11 (2),2011-12 ,2012-13 ,2013-14 ,2014-15 ,2015-16 ,2016-17 ,2017-18 ,2018-19 ,2019-20 ,2020-21 ,2021-22 
Total Unitary Authorities ,,-10125.94,-8475.727,-9276.835,-8668.226,-9296.062,-12100.06,-13813.97,-13979.47,-14420.26,-16084.64,-15401.88,9220.565,-8412.915
Total Unitary Authorities ,Isle of Anglesey ,-71,-89,-51,-55,-85,-157,-186,-247,-288,-303,-273,92,-367
,Gwynedd ,-895,-568,-692,-804,-797,-927,-1408,-1355,-1382,-1562,-1389,-298,-1422
,Conwy ,-292,-468,-457.801,-560.206,-579.63,-659.213,-1058.264,-1019.329,-949.307,-1168.698,-1233.072,51.488,-1257.254
,Denbighshire ,-707.322,-740.125,-741.399,-677,-541,-484,-458,-658.053,-464.0659,-445.238,-406.5202,389.9735,-566.4348
,Flintshire ,215,82,112,100.107,510.656,8.29908,422.852,127.2221,107.574,-321.412,-361.494,585.473,80.011
,Wrexham ,-403.031,-491.026,-520.2,-240.371,149.1853,-464.7639,-315.9207,-136.0446,-300.7018,-402.687,-444.9608,581.0129,194.1587
,Powys ,-655.015,-640.539,-245.007,-357.9288,-435.737,-616,-839,-895,-831.251,-860.117,-882.75,152.5052,-775.6895
,Ceredigion ,-255,-330,-351.26,-287.081,-278.03,-325.199,-15.865,-520.056,-487.802,-486.015,-619.4137,489.415,-531.4743
,Pembrokeshire ,-102,-134,-262,-264,-376,-492,-583,-597,-597,-803,-759,182,-869
,Carmarthenshire ,-288.005,-241.37,-387.286,-487.418,-795.181,-789.824,-1393.989,-1327.647,-920.176,-957.179,-760.733,1171.791,-223.785
,Swansea ,-1572,-1254,-1426,-1256,-1256,-1951,-2402,-2467,-2844.895,-3280.923,-2607.755,-10.122,-1766.238
,Neath Port Talbot ,270.993,83.79,-283,-246.5944,-245.427,-186,-208.29,-118.256,-168.26,-172.614,-262.76,1091.855,480.193
,Bridgend ,-620.939,-372.159,-436.031,-300.014,-495.896,-111.259,-231.671,-294.969,-250.039,-204.34,-323.807,434.992,-15.615
,Vale of Glamorgan ,98,18,123,238,-53,-151,-108,-132,-51,-101,-108,73,-676
,Rhondda Cynon Taf ,-456.118,-466.569,-353.009,-477.956,-393.047,-545.239,-496.67,-530.72,-184.162,-69.144,-374.724,425.922,-37.901
,Merthyr Tydfil ,-339.5272,-308.5695,-137.032,-340.4449,-200.7403,-93.475,-171.254,-103.767,-214.834,-279.725,-279.157,100.087,-7.804
,Caerphilly ,-219,-57.1,-232,-162.235,-211.3,-198.23,-190.09,-17.16,-90.994,301.865,-17.45884,639.318,339.015
,Blaenau Gwent ,230.919,245.275,284.718,311.228,244.125,223.058,310.438,836.175,453.064,323.1569,379.2382,316.401,313.3417
,Torfaen ,78,194,94,39,68,51,81,72,78,115,302,241,321.6
,Monmouthshire ,-625.899,-593.334,-718.528,-460.702,-584.635,-740.696,-930.895,-928.622,-863.961,-778.198,-676.182,115.706,-643.62
,Newport ,-608,-417,191,206.39,-15.92,-64.515,-137.324,-9.461,-305.583,-181.212,-311.91,127.309,42.485
,Cardiff ,-2909,-1928,-2788,-2586,-2924.485,-3426,-3494.027,-3657.781,-3864.867,-4448.158,-3991.422,2267.439,-1023.904
