,,2009-10 (1),2010-11 (2),2011-12 ,2012-13 ,2013-14 ,2014-15 ,2015-16 ,2016-17 ,2017-18 ,2018-19 ,2019-20 ,2020-21 ,2021-22 
Total Unitary Authorities ,,-28080.1,-28473.82,-30335.72,-30423.17,-31548.77,-33914.89,-35817.11,-37410.1,-38493.77,-41929.02,-42997.32,-17029.83,-36943.06
Total Unitary Authorities ,Isle of Anglesey ,-361,-366,-344,-330,-388,-456,-523,-605,-639,-682,-599,-263,-674
,Gwynedd ,-2152,-1899,-1968,-2098,-2097,-2027,-2538,-2490,-2539,-2697,-2699,-1507,-2795
,Conwy ,-1497,-1453,-1381.567,-1367.809,-1391.697,-1419.135,-1886.046,-1935.267,-1903.485,-2226.772,-2391.333,-1015.135,-2237.377
,Denbighshire ,-1532.073,-1507.119,-1495.248,-1458,-1300,-1251,-1300,-1710.687,-1516.686,-1514.699,-1584.92,-652.3862,-1672.22
,Flintshire ,-242,-217,-219,-208.735,-296.4271,-450.0001,-438.855,-598.6638,-570.91,-721.118,-925.431,-45.785,-415.581
,Wrexham ,-970.534,-1006.455,-1131.96,-846.987,-154.977,-1044.501,-896.2518,-974.097,-1112.864,-1067.222,-1091.644,-113.2002,-443.8059
,Powys ,-1435.966,-1264.429,-1251.317,-1206.891,-1196.459,-1363,-1602,-1684,-1652.771,-1682.738,-1741.167,-720.8187,-1776.689
,Ceredigion ,-794,-871,-878.576,-1032.172,-1122.81,-1150.479,-980.259,-1108.664,-1055.016,-1058.19,-1258.601,-151.657,-1203.526
,Pembrokeshire ,-767,-1055,-1334,-1297,-1360,-1521,-1783,-1867,-1916,-2173,-2065,-1120,-2329
,Carmarthenshire ,-1996.909,-2022.15,-2148.468,-2137.105,-2447.559,-2815.358,-3105.993,-3091.909,-3035.068,-2882.176,-2709.112,-970.959,-2413.92
,Swansea ,-4097,-4266,-4610,-4422,-4618,-5171,-5446,-5666,-5931.514,-6978.206,-6441.135,-2714.982,-5188.101
,Neath Port Talbot ,-1030.486,-1244.98,-1664,-1736,-1507.012,-1494,-1376.046,-1374.55,-1499.981,-1652.472,-1721.945,-411.494,-1072.182
,Bridgend ,-1151.419,-1030.998,-1057.613,-1137.688,-1356.798,-1267.642,-1219.9,-1127.487,-1138.637,-1211.064,-1712.138,-673.114,-1229.532
,Vale of Glamorgan ,-321,-321,-319,-318,-955,-788,-686,-764,-737,-807,-738,-628,-1567
,Rhondda Cynon Taf ,-1111.122,-1131.688,-1084.802,-1290.361,-1384.112,-1409.513,-1291.035,-1321.516,-1089.778,-1323.964,-1764.012,-935.982,-1598.661
,Merthyr Tydfil ,-737.157,-689.1779,-726.8506,-885.0389,-831.6895,-744.608,-689.98,-607.813,-725.231,-683.738,-696.613,-292.107,-462.959
,Caerphilly ,-596,-619,-647,-659.235,-702,-721,-702,-675,-641.423,-688.405,-1041.068,-169.704,0
,Blaenau Gwent ,0,0,0,0,-30,-38.483,-30,-30,-30.211,-39.5,-30,-30,-30
,Torfaen ,-16,-7,-5,-7,-9,-12,-5,-15,-4,-6,-108,-75,-73
,Monmouthshire ,-1176.433,-1188.821,-1260.321,-1146.71,-1182.541,-1250.408,-1420.871,-1522.203,-1534.746,-1445.502,-1491.96,-616.859,-1494.82
,Newport ,-1676,-1302,-746,-660.439,-604.873,-620.76,-639.8984,-642.502,-591.316,-649.2,-636.542,-501.693,-1254.872
,Cardiff ,-4419,-5012,-6063,-6178,-6612.819,-6900,-7256.977,-7598.742,-8629.129,-9739.051,-9550.705,-3420.952,-7010.813
