Date,Cost of Living,All motoring,Purchase (motoring),Maintenance (motoring),Petrol & oil (motoring),Tax & insurance (motoring),Average wages
01/10/2012,0,0,0,0,0,0,0
01/11/2012,0,-0.96,0.1,0,-1.9,-1.41,0.22
01/12/2012,0.49,-1.04,-0.2,0.1,-3.43,1.59,-0.22
01/01/2013,0.08,-1.37,0,0.78,-3.9,-0.22,-0.22
01/02/2013,0.81,-0.75,-0.61,0.83,-1.43,-0.94,0
01/03/2013,1.26,1.33,-0.82,1.25,1.58,3.83,-1.3
01/04/2013,1.59,0.46,-1.02,1.54,-0.89,4.1,2.81
01/05/2013,1.79,-0.46,-0.72,1.7,-3.6,4.34,1.3
01/06/2013,1.67,-0.12,-1.13,1.88,-2.79,4.75,1.08
01/07/2013,1.67,-0.5,-1.84,1.7,-3.18,4.91,0.87
01/08/2013,2.2,0.42,-2.25,1.9,-0.84,5.36,0.87
01/09/2013,2.57,0.62,-2.15,2.4,-0.44,5.26,0.87
01/10/2013,2.57,-0.71,-2.15,2.69,-4.24,5.36,0.87
01/11/2013,2.65,-1,-1.64,2.82,-5.55,5.81,0.87
01/12/2013,3.18,-0.33,-1.64,2.87,-4.76,7.58,1.3
01/01/2014,2.85,-0.21,-1.33,4.1,-4.99,7.34,1.52
01/02/2014,3.5,-0.25,-1.02,4.15,-5.92,8.31,2.16
01/03/2014,3.75,-0.46,-1.13,4.1,-6.22,8.09,-0.22
01/04/2014,4.11,-0.29,-0.41,4.12,-6.22,7.68,1.52
01/05/2014,4.19,-0.25,-0.61,4.3,-5.85,7.44,1.52
01/06/2014,4.36,-0.87,-1.13,4.54,-5.8,4.65,1.73
01/07/2014,4.23,-0.42,-0.82,4.54,-5.08,5.07,1.3
01/08/2014,4.64,-0.83,-0.61,4.96,-6.42,4.85,1.73
01/09/2014,4.89,-1,-1.33,4.72,-7.13,6.73,2.38
01/10/2014,4.93,-1.75,-2.15,5.04,-8.46,6.58,2.81
01/11/2014,4.68,-2.78,-2.66,5.11,-10.96,6.91,2.81
01/12/2014,4.85,-3.41,-2.77,5.17,-13.1,8.13,3.46
01/01/2015,3.99,-6.07,-2.25,5.69,-20.34,7.05,3.03
01/02/2015,4.52,-6.32,-2.25,5.92,-21.45,7.89,3.68
01/03/2015,4.68,-5.36,-2.66,6.03,-18.83,8.54,3.9
01/04/2015,5.05,-4.78,-2.05,6.21,-17.89,8.82,4.11
01/05/2015,5.25,-4.36,-2.66,6.47,-16.31,9.03,4.33
