"auth.name","2014","2015","2016","2017","2018"
"Enfield",75.8105068148736,NA,67.2162529113004,105.147568455214,75.8105068148736
"Hillingdon",64.8652185291809,NA,68.0681659449644,66.9713329330752,64.8652185291809
"Southwark",62.7852031861752,NA,53.2626427406199,54.7032143561428,62.7852031861752
"Havering",61.8975635781611,NA,68.8306340927807,58.1843673326323,61.8975635781611
"Greenwich",58.9109436365566,NA,61.545352743561,59.3393536121673,58.9109436365566
"Ealing",57.3287511260885,NA,103.431557399127,72.2158766419189,57.3287511260885
"Waltham Forest",51.8441373704532,NA,62.616144018583,58.2906608144355,51.8441373704532
"Lambeth",49.0453317322125,NA,55.2077243729777,43.2756909702556,49.0453317322125
"Brent",47.4953292366402,NA,48.0930324233764,43.738743008816,47.4953292366402
"Barking & Dagenham",45.3746530989824,NA,51.0511452776906,51.8638098033461,45.3746530989824
"Hackney",45.3265765765766,NA,45.9454423492584,43.45164795364,45.3265765765766
"Kingston upon Thames",45.3174039828544,NA,43.6301950805768,36.470389456788,45.3174039828544
"Richmond upon Thames",44.7463070006423,NA,38.8181279620853,36.7386400257815,44.7463070006423
"Redbridge",42.8354874740705,NA,47.9362284820031,35.8091321853851,42.8354874740705
"Sutton",42.5699300699301,NA,31.5457413249211,36.464560204953,42.5699300699301
"Tower Hamlets",42.1770924370578,NA,48.7461575796797,44.9866054341082,42.1770924370578
"Croydon",41.5879701945815,NA,51.2836419222334,45.5587330341332,41.5879701945815
"City of London",40.7113274411853,NA,45.3110647181628,40.2053712480253,40.7113274411853
"Newham",39.697008060092,NA,50.753553075682,25.0098790800601,39.697008060092
"Haringey",37.9122893217339,NA,43.5035518059898,38.8156016296307,37.9122893217339
"Bromley",37.3267326732673,NA,45.427807486631,36.3075657894737,37.3267326732673
"Barnet",36.5150047679075,NA,49.852045256745,47.6558528422007,36.5150047679075
"Islington",35.7501177905269,NA,41.3341110019646,37.5848115130678,35.7501177905269
"Harrow",35.7302321789322,NA,35.9138323994573,41.2017504587751,35.7302321789322
"Merton",34.7763193142245,NA,35.836627140975,33.3242832319722,34.7763193142245
"Camden",34.2254519673874,NA,33.0810160485214,46.1106986719459,34.2254519673874
"Bexley",33.9716214354594,NA,50.8510638297872,45.1998572448251,33.9716214354594
"Hammersmith & Fulham",33.6894858683762,NA,34.8493831342989,35.1600784057498,33.6894858683762
"Kensington & Chelsea",24.9291329084659,NA,28.0304216530589,26.2517117425539,24.9291329084659
"Lewisham",24.2496977119805,NA,31.4683544303797,33.1105913798864,24.2496977119805
"Wandsworth",23.2172519306426,NA,31.7899078601603,24.1424678131755,23.2172519306426
"Westminster",20.0738650300531,NA,17.0172154968985,35.1761221767885,20.0738650300531
"Hounslow",7.2773790064672,NA,8.63858363858364,4.69406819243344,7.2773790064672
"Total for London",37.5763547776808,NA,40.7716737754067,40.2598091705985,37.5763547776808
"Total for rest of England",52.310536572811,66.8208373904576,52.3539663662125,51.5507377732915,52.5693232712832
"Total for all of England",45.8425130579699,66.8208373904576,47.4083205413344,46.6649331670111,46.2291093094281
