"auth.name","2014","2015","2016","2017","2018"
"Rossendale",6600,NA,NA,NA,6600
"Fenland",6220,NA,9933.33333333333,10900,6220
"East Northamptonshire",NA,NA,NA,NA,5500
"Broadland",2800,NA,NA,2900,2800
"Daventry",NA,NA,NA,NA,841.176470588235
"North Warwickshire",718.75,NA,627.777777777778,807.692307692308,718.75
"Oadby & Wigston",494.285714285714,NA,517.391304347826,688.461538461538,494.285714285714
"South Staffordshire",400,NA,412.5,461.904761904762,400
"Babergh",320.245398773006,NA,183.720930232558,232.236842105263,320.245398773006
"Wealden",294.949494949495,NA,262.672811059908,270.192307692308,294.949494949495
"Buckinghamshire",NA,NA,NA,NA,211.02037896365
"Pendle",197.014925373134,NA,127.551020408163,525.925925925926,197.014925373134
"South Gloucestershire",156.706281833616,NA,131.163434903047,153.426573426573,156.706281833616
"Redditch",156.603773584906,NA,209.803921568627,188.679245283019,156.603773584906
"Dudley",131.273062730627,NA,83.5476550680787,106.795224977043,131.273062730627
"Gedling",130.340557275542,NA,127.472527472527,126.363636363636,130.340557275542
"North West Leicestershire",129.223744292237,NA,105.390835579515,130.555555555556,129.223744292237
"South Ribble",126.415094339623,NA,95.3020134228188,70,126.415094339623
"West Lindsey",126.160337552743,NA,76.4102564102564,90.8366533864542,126.160337552743
"Bracknell Forest",126.086956521739,NA,382.051282051282,185.365853658537,126.086956521739
"East Cambridgeshire",123.118279569892,NA,231.506849315068,184.415584415584,123.118279569892
"Slough",121.74851592013,NA,134.308750736566,130.481274976102,121.74851592013
"Staffordshire",115.962036238136,NA,134.031413612565,109.340659340659,115.962036238136
"Northumberland",114.866369710468,NA,124.286662242867,121.943159286186,114.866369710468
"Vale of White Horse",113.429752066116,NA,62.8571428571429,44.7598253275109,113.429752066116
"Derbyshire",109.754335260116,NA,107.445956765412,114.5003756574,109.754335260116
"Crawley",108.839779005525,NA,96.2546816479401,99.6174079387853,108.839779005525
"Essex",106.166219839142,NA,107.189861077261,103.813757604118,106.166219839142
"Norfolk",105.154639175258,NA,50.7042253521127,78.6324786324786,105.154639175258
"Three Rivers",105.036734693878,NA,122.849462365591,97.3607038123167,105.036734693878
"Broxtowe",104.360465116279,NA,110.032362459547,91.0404624277457,104.360465116279
"West Oxfordshire",104.093567251462,NA,143.589743589744,124,104.093567251462
"Surrey Heath",103.366058906031,NA,106.214689265537,97.2857142857143,103.366058906031
"Surrey",102.320968061892,NA,106.391838434312,104.688814129521,102.320968061892
"North Yorkshire",102.170352170352,NA,144.703965236285,107.19899964273,102.170352170352
"Cumbria",101.867816091954,NA,114.776632302405,115.864892528147,101.867816091954
"North Lincolnshire",99.3311445362002,NA,100.526315789474,92.9424370586397,99.3311445362002
"Corby",NA,NA,NA,NA,98.1735159817352
"Hampshire",96.7434715821813,NA,96.5494137353434,96.8821791926485,96.7434715821813
"Leicestershire",94.9494949494949,NA,99.7779422649889,101.31845841785,94.9494949494949
"Rochdale",94.5217391304348,NA,97.165991902834,98.406747891284,94.5217391304348
