"auth.name","2015","2016","2017","2018","2019","change","change.4"
"Westminster",NA,88.20034234,88.82898869,86.56894332,74.434,-14.017663673153,NA
"Kensington & Chelsea",NA,44.705,46.736,49.741,52.586,5.71962767133753,NA
"Camden",NA,39.97550151,36.369,39.494,44.049,11.5333974780979,NA
"Hammersmith & Fulham",NA,35.421,36.732,39.309,39.14,-0.429926988730315,NA
"Islington",NA,32.576,32.867,36.081,37.84,4.87514204151769,NA
"Wandsworth",NA,30.063,31.923,34.315,36.582,6.60644033221625,NA
"Lambeth",NA,26.61946343,21.406276,33.31,35.254,5.83608525968175,NA
"Haringey",NA,25.904426542,27.52468868,28.37146,32.469,14.4424714131736,NA
"Hackney",NA,26.834,27.61,28.416,28.458,0.147804054054063,NA
"Barnet",NA,17.235,20.42211325,21.57278653,22.879,6.05491306458499,NA
"City of London",NA,11.975,24.054,23.421,22.559,-3.68045770889373,NA
"Newham",NA,18.044648,25.306,23.697,22.369,-5.60408490526227,NA
"Brent",NA,20.294,21.098,20.942,21.589,3.08948524496226,NA
"Ealing",NA,18.563,24.514,29.971,21.377,-28.6743852390644,NA
"Waltham Forest",NA,13.776,16.404,19.684,21.126,7.32574679943102,NA
"Tower Hamlets",NA,18.543,19.25134432,20.2527,20.568,1.55682945977573,NA
"Croydon",NA,13.75875639,14.14129999,18.20724778,20.532,12.7682791385618,NA
"Merton",NA,15.939,18.416,18.665,18.398,-1.43048486472006,NA
"Richmond upon Thames",NA,13.504,15.515,15.57,16.059,3.14065510597304,NA
"Southwark",NA,14.712,15.213,14.814,15.31,3.34818415012825,NA
"Hounslow",NA,13.104,12.846,14.071,13.501,-4.05088479852178,NA
"Harrow",NA,13.3288982862,11.9857634227,13.167,13.075,-0.698716488190172,NA
"Kingston upon Thames",NA,11.79,11.837,11.70376492,11.963,2.21497169305754,NA
"Bromley",NA,11.22,9.728,10.1,11.353,12.4059405940594,NA
"Redbridge",NA,10.224,11.673,12.534,11.092,-11.5047071964257,NA
"Greenwich",NA,8.93,8.416,9.421,10.585,12.3553762870184,NA
"Havering",NA,7.286,11.412,11.246,10.325,-8.18957851680598,NA
"Barking & Dagenham",NA,6.374,6.814,8.648,8.846,2.2895467160037,NA
"Lewisham",NA,7.9,8.979,9.92015001,8.161,-17.7330988767981,NA
"Enfield",NA,6.83291394,6.772238,7.557,7.713,2.06431123461689,NA
"Hillingdon",NA,7.159,7.23396574,7.642,7.279,-4.75006542789846,NA
"Bexley",NA,5.64,5.604,7.259,7.011,-3.41644854663177,NA
"Sutton",NA,2.536,2.342,2.288,2.211,-3.36538461538461,NA
"Total for London",0,638.9679504382,679.9746780927,727.96005256,726.693,-0.174055232226578,NA
"Total for rest of England",4.108,857.442027181882,891.423722104234,944.993674009435,1003.707,6.21309196086519,295.361275820453
"Total for all of England",4.108,1496.40997762008,1571.39840019693,1672.95372656944,1730.4,3.43382321448689,353.032144275534
