"auth.name","2015","2016","2017","2018","2019","change","change.4","prop.income"
"Lambeth",NA,14696,9263.71385,16337,18596,13.8275081104242,NA,52.7486242695864
"Ealing",NA,19200,17703,17182,17430,1.44337096961937,NA,81.5362305281377
"Camden",NA,13224.30207,16770,13517,15060,11.415254864245,NA,34.189198392699
"Kensington & Chelsea",NA,12531,12269,12400,13747,10.8629032258064,NA,26.1419389191039
"Hammersmith & Fulham",NA,12344,12915,13243,13603,2.71841727705203,NA,34.7547266223812
"Hackney",NA,12329,11997,12880,12915,0.271739130434796,NA,45.3826691967109
"Haringey",NA,11269.3456207435,10683.8735078249,10756.27,12788,18.888796952847,NA,39.3852597862577
"Newham",NA,9158.3,6329,9407,12444,32.2844690124376,NA,55.6305601502079
"Waltham Forest",NA,8626,9562,10205,12024,17.8245957863792,NA,56.9156489633627
"City of London",NA,5426,9671,9535,11879,24.5831148400629,NA,52.6574759519482
"Birmingham",NA,9108,8550,10045,11805,17.5211548033848,NA,44.2516025040297
"Brighton & Hove",NA,9122,9140,10657,11540,8.28563385568171,NA,31.7897578579102
"Islington",NA,13465,12353,12899,11231,-12.9312349794558,NA,29.6802325581395
"Barnet",NA,8592,9732.33223768757,7877.30403,10658,35.3000970815646,NA,46.5842038550636
"Plymouth",NA,10,25,34.21999,9697,28237.2379711391,NA,134.381929046563
"Colchester",NA,8180,8763,9220,9625,4.39262472885034,NA,82.0545609548167
"Newcastle upon Tyne",NA,9479,8898,8677,9110,4.9902039875533,NA,51.3586650129665
"Brent",NA,9760,9228,9946.47184873719,9072,-8.79177925636232,NA,42.0213997869285
"Manchester",NA,6714,7564,7571,8936,18.0293224144763,NA,50.5172706201594
"Southwark",NA,7836,8322,9301,8861,-4.73067412106225,NA,57.8772044415415
"Liverpool",NA,6231,7730,8167,8518,4.297783763928,NA,73.5959910143425
"Tower Hamlets",NA,9039,8660.52631,8542,8269,-3.19597284008429,NA,40.2032283158304
"Wandsworth",NA,9557,7707,7967,8195,2.86180494539978,NA,22.4017276256082
"Bournemouth, Christchurch & Poole",NA,NA,NA,NA,8114,NA,NA,36.9187369187369
"Croydon",NA,7055.99136,6442.59711,7572.02478,8019,5.90298147439501,NA,39.0561075394506
"Bristol",NA,7679,8855,9544.623,7994,-16.2460371666854,NA,41.1129397243366
"Nottingham",NA,5041,6024,8061,7657,-5.01178513832031,NA,31.7862924986508
