"auth.name","2015","2016","2017","2018","2019"
"East Northamptonshire",NA,NA,NA,5500,6700
"South Northamptonshire",NA,NA,NA,NA,4600
"Fenland",NA,9933.33333333333,10900,6220,4350
"Broadland",NA,NA,2900,2800,3900
"Daventry",NA,NA,NA,841.176470588235,1043.75
"Buckinghamshire",NA,NA,NA,211.02037896365,784.25
"North Warwickshire",NA,627.777777777778,807.692307692308,718.75,627.777777777778
"Oadby & Wigston",NA,517.391304347826,688.461538461538,494.285714285714,538.709677419355
"South Staffordshire",NA,412.5,461.904761904762,400,400
"Wealden",NA,262.672811059908,270.192307692308,294.949494949495,338.020833333333
"Babergh",NA,183.720930232558,232.236842105263,320.245398773006,269.032258064516
"Surrey Heath",NA,106.214689265537,97.2857142857143,103.366058906031,240
"Pendle",NA,127.551020408163,525.925925925926,197.014925373134,224.324324324324
"Bracknell Forest",NA,382.051282051282,185.365853658537,126.086956521739,157.317073170732
"West Oxfordshire",NA,143.589743589744,124,104.093567251462,152.816901408451
"North West Leicestershire",NA,105.390835579515,130.555555555556,129.223744292237,150.827814569536
"Blaby",NA,121.25,99.0291262135922,85.2941176470588,150.617283950617
"Plymouth",NA,1.43884892086331,2.82805429864253,3.6022005219929,134.381929046563
"Gedling",NA,127.472527472527,126.363636363636,130.340557275542,132.335329341317
"Barrow-in-Furness",NA,52.361673414305,52.058432934927,56.4171122994652,132.022471910112
"Dudley",NA,83.5476550680787,106.795224977043,131.273062730627,131.538461538462
"Staffordshire",NA,134.031413612565,109.340659340659,115.962036238136,131.009174311927
"South Gloucestershire",NA,131.163434903047,153.426573426573,156.706281833616,130.779569892473
"Crawley",NA,96.2546816479401,99.6174079387853,108.839779005525,129.113924050633
"North Yorkshire",NA,144.703965236285,107.19899964273,102.170352170352,121.891086426443
"Broxtowe",NA,110.032362459547,91.0404624277457,104.360465116279,114.634146341463
"Eastbourne",NA,41.5959252971138,39.8576512455516,39.6351575456053,114.171511627907
"Cumbria",NA,114.776632302405,115.864892528147,101.867816091954,114.053350683149
"Vale of White Horse",NA,62.8571428571429,44.7598253275109,113.429752066116,112.578616352201
"East Cambridgeshire",NA,231.506849315068,184.415584415584,123.118279569892,112.307692307692
"Three Rivers",NA,122.849462365591,97.3607038123167,105.036734693878,111.713665943601
"Ashfield",NA,60.3960396039604,85.2760736196319,66.2650602409639,111.180124223602
"Redditch",NA,209.803921568627,188.679245283019,156.603773584906,110.526315789474
"North Lincolnshire",NA,100.526315789474,92.9424370586397,99.3311445362002,107.05596107056
"South Ribble",NA,95.3020134228188,70,126.415094339623,106.329113924051
"Kettering",NA,NA,NA,80.5736636245111,106.0522696011
"Lincolnshire",NA,118.081761006289,122.162162162162,94.0988835725678,104.902723735409
"Essex",NA,107.189861077261,103.813757604118,106.166219839142,104.749103942652
"Norfolk",NA,50.7042253521127,78.6324786324786,105.154639175258,104.716981132075
"Derbyshire",NA,107.445956765412,114.5003756574,109.754335260116,103.756574004508
"Slough",NA,134.308750736566,130.481274976102,121.74851592013,102.043318348999
"Leicestershire",NA,99.7779422649889,101.31845841785,94.9494949494949,101.476578411405
"Northumberland",NA,124.286662242867,121.943159286186,114.866369710468,101.419110690634
"Forest of Dean",NA,137.857142857143,160,NA,100.645161290323
"Wigan",NA,69.9201741654572,85.7455181460429,92.3375363724539,98.3360171765969
"Surrey",NA,106.391838434312,104.688814129521,102.320968061892,96.9620607587848
"Hampshire",NA,96.5494137353434,96.8821791926485,96.7434715821813,96.9508584961516
"Dartford",NA,102.109181141439,83.4900731452456,90.8489525909592,95.3905249679897
"West Lindsey",NA,76.4102564102564,90.8366533864542,126.160337552743,94.5205479452055
"Corby",NA,NA,NA,98.1735159817352,94.4186046511628
"Oldham",NA,112.191103789127,97.9889391654097,91.7036379769299,93.4872217642209
"Rochdale",NA,97.165991902834,98.406747891284,94.5217391304348,92.88
"East Sussex",NA,70.3530844155844,71.1463223787167,75.2247752247752,91.7992656058752
"Nottinghamshire",NA,54.640522875817,18.4257602862254,24.3542435424354,89.6103896103896
"Sandwell",NA,80.1202034211743,77.0989010989011,75.4639175257732,88.9321227842629
"Stoke-on-Trent",NA,79.2996453900709,87.4348958333333,94.462126034373,87.9835873388042
"Durham",NA,92.9127516778523,86.7900282703675,85.1378446115288,86.4164904862579
"Lancashire",NA,72.1955128205128,68.1861958266453,70.5458575782765,83.741781231321
"Peterborough",NA,42.1179624664879,55.8503836317136,60.9622744669218,83.7400530503979
"Shepway",NA,63.8219895287958,63.5405690200211,68.478757423481,82.9368709972553
"St Helens",NA,91.0794602698651,73.7492279184682,73.7547892720306,82.7942188575361
"Oxfordshire",NA,56.5905383360522,80.2310924369748,88.7075091223353,82.5382206667895
"Sunderland",NA,83.3966565349544,76.8110918544194,78.8751255440241,82.1856800274066
"Colchester",NA,75.8249907304412,79.2386291708111,80.3625904297045,82.0545609548167
"Tendring",NA,84.5373891001267,80.3594351732991,85.2272727272727,81.6867469879518
"Ealing",NA,103.431557399127,72.2158766419189,57.3287511260885,81.5362305281377
"Knowsley",NA,74.3712574850299,77.2952853598015,82.4455205811138,80.9885931558935
"East Staffordshire",NA,58.8104089219331,72.2222222222222,67.6734693877551,80.704845814978
"Spelthorne",NA,79.731027857829,80.1359121798223,54.2928393302458,80.107047279215
"Oxford",NA,48.9690319240583,54.1698224241311,74.0693196405648,79.2350467923505
"Mansfield",NA,87.0848708487085,82.5178997613365,79.9408284023669,78.944099378882
"Dacorum",NA,77.5790921595598,71.3345039508341,63.9315489249671,78.51786501985
"Wyre",NA,73.8983050847458,67.3539518900344,74.2556917688266,78.3595113438045
"Hinckley & Bosworth",NA,76.9352290679305,84.4677137870855,73.5338345864662,78.2270606531882
"Gateshead",NA,74.0139211136891,75.3527751646284,72.1289151157512,77.9804270462633
"Chorley",NA,51.0678504669112,77.4737175043328,71.2784588441331,77.7096114519427
"Welwyn Hatfield",NA,78.535191650757,84.1380614225705,90.887573964497,77.609756097561
"Fareham",NA,64.7806478064781,68.2306163021869,70.0858186761832,77.5132275132275
"Cotswold",NA,42.5229741019215,33.7436332767402,39.5243952439524,77.4025974025974
"West Sussex",NA,80.5616740088106,83.5012251565478,76.3885661166628,77.195982047446
"Ribble Valley",NA,75.9649122807018,76.3025210084034,68,76.0902255639098
"Ashford",NA,47.6683937823834,66.9501068466223,70.5907826797279,75.6531204644412
"Charnwood",NA,60.4188481675393,64.818763326226,65.7112526539278,75.3897550111359
"Worthing",NA,54.6135646687697,59.5475460122699,55.2254456483747,75.3020611229566
"North Hertfordshire",NA,64.0353460972018,74.9716874292186,65.210027100271,74.7733160621762
"Blackburn with Darwen",NA,68.780971258672,67.8221859706362,76.1410788381743,74.7126436781609
"Tandridge",NA,236.111111111111,171.028037383178,76.0204081632653,74.4075829383886
"Walsall",NA,64.14686825054,62.5631313131313,70.3587161736941,74.2775935575557
"Lewes",NA,56.029106029106,57.8252032520325,58.8465298142718,73.6323851203501
"Liverpool",NA,65.7001265288908,65.8040350727845,71.1225289558478,73.5959910143425
"Bedford",NA,70.0256191289496,67.0498084291188,63.835190506455,73.2631189948263
"Great Yarmouth",NA,68.7395519893012,76.7368421052632,69.5170229612035,73.2529118136439
"Adur",NA,72.9411764705882,72.107765451664,59.5988538681948,73.2016925246826
"Basildon",NA,84.2756183745583,86.875,76.4906303236797,72.9689807976366
"Hambleton",NA,43.9499304589708,52.7318932655654,52.7614571092832,72.8045325779037
"Erewash",NA,66.5961945031712,63.2323232323232,65.2263374485597,72.4669603524229
"Copeland",NA,141.390518665419,NA,77.8195488721805,72.0173535791757
"Norwich",NA,71.622031328954,72.8899038919022,71.2158111652304,71.5308948524496
"Luton",NA,71.1567732115677,62.671905697446,70.4578594342374,71.2379935965848
"East Riding of Yorkshire",NA,66.1578266494179,66.5022200296004,59.1397849462366,71.1038140944683
"Carlisle",NA,69.1167753408417,66.9281834640917,69.8707138842046,70.7975460122699
"Havering",NA,68.8306340927807,58.1843673326323,61.8975635781611,70.6053268765133
"Rotherham",NA,61.2197028928851,60.8017817371938,63.3793103448276,70.5218617771509
"Havant",NA,66.2508900349947,37.9635403293842,31.6300459887583,70.1362397820163
"Cannock Chase",NA,62.9781420765027,64.8575305291723,73.0322580645161,69.9494949494949
"Bolton",NA,71.0779595765159,73.6311870346036,60.2146099876187,69.7962154294032
"Wycombe",NA,NA,NA,83.257477243173,69.3491124260355
"Burnley",NA,66.1637931034483,69.6864111498258,67.2826086956522,69.2137320044297
"Salford",NA,70.466082141209,72.8177295341474,71.4586846543002,69.1603660962992
"Swale",NA,52.3550724637681,55.9856630824373,58.5256887565153,69.0193164933135
"Warwick",NA,51.9886363636364,66.3662697135501,67.3368388493659,68.8806888068881
"Hastings",NA,64.9739583333333,61.0677864427115,62.1749408983452,68.5199386503067
"Rugby",NA,55.7377049180328,51.965811965812,58.6387434554974,68.1127982646421
