"collapsed","variable","2016","2017","2018","2019","2020","2020 budget","2021 budget","change"
"On-street","Total Income",871.878766839871,933.115554474685,991.979436147222,1019.527,781.928,NA,NA,-23.3048266500053
"On-street","Expenditure",400.607159009437,416.936478845353,424.011578260919,450.992,452.564,NA,NA,0.34856494128499
"On-street","Surplus",471.271607830434,516.179075629332,567.967857886303,568.535,329.364,NA,NA,-42.0679465644156
"Off-street","Total Income",624.531210780211,638.282845722248,668.680290422213,700.53,330.604,NA,NA,-52.8065892966754
"Off-street","Expenditure",308.815679793202,316.355534394027,338.549856731432,379.576,340.685,NA,NA,-10.2459059582271
"Off-street","Surplus",315.715530987009,321.927311328221,330.130433690781,320.954,-10.081,NA,NA,-103.140948547144
"All parking","Total Income",1496.40997762008,1571.39840019693,1660.65972656944,1720.057,1112.532,NA,NA,-35.3200504401889
"All parking","Expenditure",709.422838802639,733.292013239381,762.561434992351,830.568,793.249,NA,NA,-4.49319020236754
"All parking","Surplus",786.987138817443,838.106386957553,898.098291577084,889.489,319.283,918.14,916.849,-64.1048961819652
"All England transport","Net Expenditure",4012.82509003497,3996.98446488921,3857.44544720912,3757.41,7844.126,3915.182,5896.159,108.764175322895
"","Parking surplus as percentage of net transport expenditure",19.6117977026152,20.9684674614011,23.2822033096246,23.6729289590436,4.0703451219422,23.4507616759578,15.5499368317578,NA
