"auth.name","2016","2017","2018","2019","2020","change","change.4","prop.income"
"Brighton & Hove",9.122,9.14,10.657,11.54,11.114,-3.69150779896013,5.06185901157821,43.3057980049875
"Colchester",8.18,8.763,9.22,9.625,10.651,10.6597402597403,6.82164712775455,121.406588396216
"Birmingham",9.108,8.55,10.045,11.805,9.491,-19.6018636171114,1.03509121033183,96.472860337467
"Manchester",6.714,7.564,7.571,8.936,8.747,-2.11504028648164,6.83644968205972,67.4610519821071
"Newcastle upon Tyne",9.479,8.898,8.677,9.11,7.94,-12.8430296377607,-4.33248463769631,91.5801614763553
"Liverpool",6.231,7.73,8.167,8.518,7.747,-9.05142052124913,5.59514507112238,137.822451521082
"Bristol",7.679,8.855,9.544623,7.994,7.657,-4.21566174630973,-0.0717009879832697,87.42863667504
"Norwich",7.087,7.66,7.603,7.49,7.652,2.16288384512684,1.93612778209875,122.608556321102
"Buckinghamshire UA",NA,NA,NA,NA,7.634,NA,NA,151.588562351072
"Guildford",4.759,5.084,5.388,6.425,6.805,5.91439688715954,9.35234638709899,156.042192157762
"Nottingham",5.041,6.024,8.061,7.657,6.61,-13.6737625701972,7.0092180422588,63.1689602446483
"Cornwall",6.195,6.13,6.858,7.24,6.524,-9.88950276243095,1.30203282298205,69.98498176357
"Surrey",5.11,4.979,5.158,6.926,6.35,-8.31648859370489,5.58159202799764,94.1298547287281
"Plymouth",0.01,0.025,0.03421999,9.697,6.064,-37.4651954212643,396.237749013456,119.936708860759
"Southampton",3,2.839,0.944,6.034,5.832,-3.34769638713954,18.0793802759258,99.8972250770812
"Portsmouth",4.65,5.157,5.556,6.321,5.34,-15.5196962505933,3.51947863098103,84.4135314574771
"Oxford",3.57542,4.04102,5.193,5.842,5.253,-10.0821636425881,10.0956307474641,79.9178457325422
"Leeds",4.791,5.042,5.328,5.52,5.138,-6.92028985507245,1.76348753706059,124.076310070031
"Stoke-on-Trent",3.578,4.029,4.452,4.503,4.83,7.2618254497002,7.78955987697898,158.881578947368
"Essex",4.398,4.437,4.356,4.676,4.736,1.28314798973481,1.86831373421614,100.042247570765
"Reading",7.628,3.36342543,3.623,3.793,4.712,24.2288426047983,-11.3459359141997,139.656194427979
"Sheffield",4.40813368730389,4.733,4.953,4.35,4.692,7.86206896551724,1.57242275808294,112.978569708644
"Cambridgeshire",2.579,3.121,5.103902,4.405,4.652,5.60726447219069,15.890301034064,103.194321206744
"Cambridge",4.184,4.319,4.39,4.509,4.426,-1.84076291860723,1.41563947367991,147.58252750917
"Leicester City",3.455,3.455,3.819,3.727,4.245,13.8985779447277,5.28279617360023,190.188172043011
"Dorset",NA,NA,NA,3.962,4.199,5.98182735991924,NA,42.3286290322581
"Hampshire",2.882,2.952,3.149,3.275,4.189,27.9083969465649,9.80044392334631,104.961162615886
"Canterbury",4.775,4.766,5.038,5.063,4.141,-18.2105471064586,-3.49874449780219,77.0848845867461
"East Sussex",3.467,3.637,3.765,4.5,4.088,-9.15555555555555,4.20516878355599,104.659498207885
"Wiltshire",4.158,3.216,3.734,3.803,3.961,4.15461477780698,-1.20610925382716,101.304347826087
"Bedford",3.28,3.325,3.43752181192675,3.965,3.96,-0.12610340479192,4.82269845075751,148.481439820023
"Bath & North East Somerset",4.27130065642276,4.39174496467919,4.4694506448464,4.407,3.919,-11.0732924892217,-2.12905532525807,56.1300486966485
"Woking",3.472,3.681,3.928,4.55,3.758,-17.4065934065934,1.99861268215016,128.654570352619
"King's Lynn & West Norfolk",2.734,2.59,3.461826,3.722,3.7,-0.591080064481446,7.85761269806211,63.6504386719422
"West Suffolk",NA,NA,NA,3.678,3.697,0.516585100598149,NA,96.250976308253
"Windsor & Maidenhead",3.63,3.273,3.633,3.945,3.624,-8.13688212927755,-0.0413479517779924,85.11038046031
"Medway",3.339,3.737,4.193,4.083,3.587,-12.1479304433015,1.80725770986909,91.6922290388548
"Bradford",2.762,2.795,3.108,3.397,3.478,2.38445687371211,5.93183023366692,143.956953642384
"Durham",3.461,3.377,3.397,3.27,3.454,5.62691131498471,-0.0506018161784194,127.831236121392
"Coventry",3.003,3.343,3.399,3.474,3.261,-6.13126079447323,2.08192865068382,99.0282417248709
