"collapsed","variable","2017","2018","2019","2020","2021","2021 budget","2022 budget","change"
"On-street","Total Income",933.115554474685,991.902436147222,1019.442,781.73,1063.696,NA,NA,36.0694869072442
"On-street","Expenditure",416.936478845353,423.891578260919,450.788,452.081,499.093,NA,NA,10.3990214143041
"On-street","Surplus",516.179075629332,568.010857886303,568.654,329.649,564.603,NA,NA,71.2739914272453
"Off-street","Total Income",638.282845722248,663.391290422213,695.06,329.198,651.836,NA,NA,98.0072782945219
"Off-street","Expenditure",316.355534394027,334.766856731432,376.158,337.183,365.462,NA,NA,8.38684038044624
"Off-street","Surplus",321.927311328221,328.624433690781,318.902,-7.985,286.374,NA,NA,-3686.39949906074
"All parking","Total Income",1571.39840019693,1655.29372656944,1714.502,1110.928,1715.532,NA,NA,54.4233289646133
"All parking","Expenditure",733.292013239381,758.658434992351,826.946,789.264,864.555,NA,NA,9.53939366295686
"All parking","Surplus",838.106386957553,896.635291577084,887.556,321.664,850.977,916.849,632.821,164.554628432153
"All England transport","Net Expenditure",3996.98446488921,3857.44544720912,3757.41,7844.126,5329.99717505217,5896.159,4810.922,-32.0511019959117
"","Parking surplus as percentage of net transport expenditure",20.9684674614011,23.2442766553136,23.6214839477193,4.10069904537484,15.9658058353787,15.5499368317578,13.1538403657345,NA
