"auth.name","2014","2015","2016"
"Aberdeen City",18.7868270332188,17.5099478919943,20.0614427860697
"Argyll & Bute",23.1553233830846,24.5947658402204,38.3381083562902
"Dundee City",19.3459752321981,24.7992865105909,27.040815782458
"East Ayrshire",16.7891493636973,13.392997382199,13.7558659217877
"East Dunbartonshire",NA,NA,77.9413043478261
"East Lothian",NA,NA,33.5357142857143
"East Renfrewshire",99.2431279620853,98.7962085308057,97.9481481481481
"Edinburgh City",19.801235807523,18.8834909064665,18.5569458225838
"Fife",17.7279830405815,16.8768762677485,17.6730025959042
"Glasgow City",24.1079278779473,20.4092524321557,23.7871949710439
"Highland",NA,NA,3.88842975206612
"Inverclyde",84.4394904458599,84.6335365853659,81.5189610389611
"Perth & Kinross",11.8730109739369,10.3773459383754,10.7830292598967
"Renfrewshire",21.8986829727187,20.4146341463415,15.504752851711
"South Ayrshire",33.0285161290323,NA,16.6598146588037
"South Lanarkshire",31.9290661990355,30.3328188464663,32.1488095238095
"Scottish DPE authorties",19.6825723003449,18.9636280636782,20.0028482507236
"London",40.3615721304768,49.293298662975,42.0115310284194
"England without London",11.0670083913482,11.3109876283799,12.5293424612574
