"auth.name","2014","2015","2016","2017","2018","change","change.4","prop.income"
"Edinburgh City",8539,8355,8365,8737,8399,-3.86860478425089,-0.41242851247052,25.85819402112
"Glasgow City",6670,6948,6952,7544,6490,-13.9713679745493,-0.681599729863136,33.6426312788347
"Aberdeen City",4221,4877,4821,5075,4981,-1.85221674876847,4.22581442191023,63.2990214766807
"Fife",3003,2779,3013,3204,3306,3.18352059925093,2.43228935032727,86.6806502359727
"Dundee City",2681,2840,2848,3401,3018,-11.261393707733,3.00435936448578,58.715953307393
"Perth and Kinross",2245,2635,2395,2499,2668,6.76270508203281,4.41006592458484,75.2397067117879
"Stirling",1880,1508,1546,1693,1661,-1.89013585351448,-3.04885426268204,81.421568627451
"South Lanarkshire",1674,1832,1696,1502,1560,3.86151797603196,-1.74779941732035,67.7966101694915
"Highland",950,1119,1334,1607,1422,-11.5121344119477,10.6098995126391,55.7210031347962
"East Ayrshire",1241,962,955,1698,977,-42.4617196702002,-5.8043829189701,71.9440353460972
"Argyll and Bute",679,726,726,705,834,18.2978723404255,5.2747137197771,70.0251889168766
"Aberdeenshire",505,568,589,625,645,3.2,6.30827817122392,138.412017167382
"Renfrewshire",540,368,289,424,576,35.8490566037736,1.62654963092295,53.3333333333333
"East Dunbartonshire",384,549,341,513,535,4.28849902534114,8.64397311944833,86.709886547812
"South Ayrshire",529,470,706,579,505,-12.7806563039724,-1.1540393509784,50.0495540138751
"East Lothian",0,0,170,463,483,4.31965442764579,NA,100.207468879668
"Inverclyde",250,297,346,397,463,16.624685138539,16.6568500730377,91.3214990138067
"North Ayrshire",859,279,336,437,399,-8.69565217391305,-17.4447051269901,204.615384615385
"East Renfrewshire",288,378,345,336,365,8.63095238095238,6.10237228775132,181.592039800995
"Midlothian",94,135,229,211,358,69.6682464454976,39.6975511863345,184.536082474227
"Moray",433,425,362,434,350,-19.3548387096774,-5.18107286949014,40.0916380297824
"Scottish Borders",364,349,390,387,333,-13.953488372093,-2.20070762608858,179.032258064516
"Falkirk",365,223,320,275,324,17.8181818181818,-2.93491561522317,61.2476370510397
"Dumfries and Galloway",216,248,210,213,200,-6.10328638497653,-1.90563478724294,1818.18181818182
"West Lothian",105,143,149,144,173,20.1388888888889,13.2959019042572,NA
"Angus",133,114,190,159,139,-12.5786163522013,1.10922692722157,39.6011396011396
"Orkney Islands",90,98,134,134,136,1.49253731343283,10.8725662328476,90.6666666666667
"Na h-Eileanan an Iar",86,93,102,130,115,-11.5384615384615,7.53500194020904,155.405405405405
"West Dunbartonshire",90,86,77,98,91,-7.14285714285714,0.276627815253661,NA
"Clackmannanshire",112,92,0,0,43,NA,-21.2840740998334,130.30303030303
"Shetland Islands",28,71,36,24,33,37.5,4.19310421921495,253.846153846154
"North Lanarkshire",0,0,0,0,0,0,0,100
"Total",39254,39567,39972,43648,41582,-4.7333211143695,1.45077382100254,46.9566592135872
