"dpe.now","dpe.next","dpe.not"
"Angus (2017)","Aberdeenshire","Clackmannanshire"
"Argyll and Bute (2014)","North Ayrshire","Dumfries and Galloway"
"Edinburgh City (1998)","Orkney Islands","Moray"
"Dundee City (2004)",NA,"Na h-Eileanan an Iar"
"East Ayrshire (2012)",NA,"Scottish Borders"
"East Dunbartonshire (2014)",NA,"Shetland Islands"
"East Lothian (2017)",NA,"West Dunbartonshire"
"East Renfrewshire (2013)",NA,"West Lothian"
"Falkirk (2018)",NA,NA
"Fife (2013)",NA,NA
"Glasgow City (1999)",NA,NA
"Highland (2016)",NA,NA
"Inverclyde (2014)",NA,NA
"Midlothian (2018)",NA,NA
"North Lanarkshire (2017)",NA,NA
"Perth and Kinross (2002)",NA,NA
"Renfrewshire (2010)",NA,NA
"South Ayrshire (2012)",NA,NA
"South Lanarkshire (2005)",NA,NA
"Stirling (2017)",NA,NA
"Aberdeen City (2003)",NA,NA
