"auth.name","2015","2016","2017","2018","2019","income.per.pcn"
"Aberdeen City",37754,37754,40392,38967,36842,35.5934259812171
"Angus",NA,NA,6273,6626,8217,22.7989533893148
"Argyll and Bute",8123,13018,6269,6696,5775,30.8950649350649
"Dundee City",31332,29266,21837,29130,31949,33.1690819743967
"East Ayrshire",5391,5995,6262,6900,6097,42.4090536329342
"East Dunbartonshire",3331,4704,5301,6348,6137,33.2693498452012
"East Lothian",NA,953,10040,9540,10063,31.4275067077412
"East Renfrewshire",5696,3742,5176,4859,3614,36.8724405091312
"Edinburgh City",184964,192381,191563,183965,191479,30.8061719561936
"Falkirk",NA,NA,NA,2881,7689,35.1430615164521
"Fife",19904,20142,21890,21768,19864,26.3290374546919
"Glasgow City",118902,133901,125505,146412,152579,35.9471552441686
"Highland",NA,4101,9477,10000,10386,29.5063547082611
"Inverclyde",6260,7200,8059,9117,8635,42.7818181818182
"Midlothian",NA,NA,NA,6855,6939,26.5490704712495
"North Lanarkshire",NA,NA,NA,6018,11863,31.1142206861671
"Perth and Kinross",7133,7805,14469,15852,13401,39.3213193045295
"Renfrewshire",7588,6160,6823,6974,5191,25.2968599499133
"South Ayrshire",5968,5238,5824,7213,8991,33.0329218106996
"South Lanarkshire",23513,23693,20952,21281,22320,33.5384856630824
"Stirling",NA,NA,9975,9586,12189,27.2434161949299
"Total",465859,496053,516087,556988,580220,32.9028816655751
