"auth.name","2014","2015","2016","2017","2018","2019","2020"
"Aberdeen City",NA,NA,20.0614427860697,20.6797546742884,17.5738340322786,16.0820824135394,31.9752757600215
"Argyll and Bute",NA,NA,38.3381083562902,17.7737642585551,17.6760705289673,14.8435108153078,20.4906148867314
"Dundee City",NA,NA,27.040815782458,24.8696505692972,17.1450389105058,20.1774371667936,30.3153184165232
"East Ayrshire",NA,NA,13.7558659217877,10.3851727447217,21.129234167894,18.4691428571429,18.9077669902913
"East Dunbartonshire",NA,NA,77.9413043478261,53.0798761609907,34.969205834684,35.2632124352332,63.1756097560976
"East Lothian",NA,NA,33.5357142857143,60.8506550218341,65.4917012448133,63.124750499002,38.8267405063291
"East Renfrewshire",NA,NA,97.9481481481481,98.6725388601036,92.9691542288557,86.5305194805195,76.7625
"Edinburgh City",NA,NA,18.5569458225838,18.1327742965966,16.2946738093039,17.5866402313586,14.337324644314
"Fife",NA,NA,17.6730025959042,16.3809164571109,15.8661510225485,13.075,14.6377403846154
"Glasgow City",NA,NA,23.7871949710439,22.0092402668525,26.0401482556633,25.5844610744702,26.2815963060686
"Highland",NA,NA,3.88842975206612,11.7546423811639,12.0281347962382,11.4348134328358,17.3165749656121
"Inverclyde",NA,NA,81.5189610389611,70.5265151515152,81.2575936883629,78.2671610169491,71.56375
"Perth and Kinross",NA,NA,10.7830292598967,16.0188527131783,16.5815284827975,14.8226441631505,17.6567918088737
"Renfrewshire",NA,NA,15.504752851711,17.6120470127326,15.1761111111111,14.7380471380471,16.3713004484305
"South Ayrshire",NA,NA,16.6598146588037,21.7557562076749,22.3090188305253,40.353125,23.8511434511435
"South Lanarkshire",NA,NA,32.1488095238095,30.690021978022,31.4993481095176,32.1692737430168,67.1978835978836
"Scottish DPE authorties",19.6825723003449,18.9636280636782,20.0028482507236,19.9554554214136,19.9767983377374,20.5656881713441,20.9383369987366
"London",45.0984253071965,NA,42.0115310284194,43.125987207721,41.8869451996506,34.7672263252845,36.1784285585999
"England without London",12.2949594040934,12.8773125608569,12.8731302558862,13.5267773295882,12.2322956633742,13.3148038318875,15.1431325705185
