"auth.name","2017","2018","2019","2020","2021","change","change.4"
"Edinburgh City",32556,32481,33541,20102,30570,52.0744204556761,-1.56124785939502
"Glasgow City",20086,19291,21437.93838,7580,19178,153.007915567282,-1.14982011146451
"Aberdeen City",8397,7869,8154,3717,6280,68.9534570890503,-7.00515548372778
"Perth and Kinross",3225,3546,3555,1465,3437,134.607508532423,1.60438542991086
"Dundee City",5094,5140,5252,1743,3044,74.6414228341939,-12.0782291192183
"Fife",3579,3814,4000,1664,2857,71.6947115384615,-5.47707866911394
"Highland",2251,2552,2680,1454,2582,77.5790921595598,3.48923717108487
"Stirling",2218,2040,2161,839,1760,109.773539928486,-5.61830305874087
"South Lanarkshire",2275,2301,2327,378,1377,264.285714285714,-11.7960296042854
"Argyll and Bute",1052,1191,1202,618,1060,71.5210355987055,0.189574310529883
"South Ayrshire",886,1009,736,481,979,103.534303534304,2.52676218319707
"East Lothian",458,482,501,632,789,24.8417721518987,14.5652431827675
"East Ayrshire",2084,1358,1400,515,783,52.0388349514563,-21.7082479795585
"East Dunbartonshire",323,617,579,246,671,172.764227642276,20.0549301655404
"Moray",676,873,877,101,644,537.623762376238,-1.20503928901917
"Aberdeenshire",443,466,544,53,585,1003.77358490566,7.19833376562256
"Falkirk",411,529,772,299,496,65.886287625418,4.81174791660459
"Renfrewshire",1021,1080,891,223,320,43.4977578475336,-25.1776991392357
"Inverclyde",396,507,472,80,235,193.75,-12.2305919973074
"Midlothian",0,194,271,175,194,10.8571428571429,NA
"North Ayrshire",185,195,186,94,194,106.382978723404,1.19463782032003
"Scottish Borders",165,186,177,67,154,129.850746268657,-1.71003189138293
"Orkney Islands",149,150,158,69,96,39.1304347826087,-10.4075854489466
"East Renfrewshire",193,201,154,16,89,456.25,-17.5941251419515
"Angus",0,351,593,80,83,3.75000000000001,NA
"Na h-Eileanan an Iar",47,74,71,20,33,65,-8.46145174865443
"Clackmannanshire",0,33,38,18,19,5.55555555555556,NA
"Shetland Islands",28,13,91,13,10,-23.0769230769231,-22.6944824306055
"Dumfries and Galloway",17,11,8,0,7,NA,-19.8945103054886
"North Lanarkshire",0,0,0,0,0,0,0
"West Dunbartonshire",0,0,0,0,0,0,0
"West Lothian",0,0,0,0,0,0,0
"Total",88215,88554,92828.93838,42742,78526,83.7209302325581,-2.86678596716631
