"auth.name","2017","2018","2019","2020","2021","change","prop.transp"
"Edinburgh City",23819,24082,24772,13159,21798,65.6508853256327,616.982734220209
"Glasgow City",12542,12801,13184.36189,-6673,6168,NA,21.8956336528222
"Aberdeen City",3322,2888,4077,903,3598,298.449612403101,46.1577934573445
"East Ayrshire",386,381,371,-53,638,NA,6.71155059962129
"Perth and Kinross",726,878,708,-1283,541,NA,4.33736871642748
"Highland",644,1130,1092,-192,497,NA,1.34845483897224
"Fife",375,508,728,-1165,201,NA,0.619853825515774
"Moray",242,523,403,-356,167,NA,2.74580730023019
"East Lothian",-5,-1,21,97,154,58.7628865979381,2.64786795048143
"South Ayrshire",307,504,309,-81,151,NA,1.65552022804517
"Falkirk",136,205,342,-153,142,NA,2.08639435791948
"Dundee City",1693,2122,2424,-967,10,NA,0.185082361650935
"North Lanarkshire",0,0,0,0,0,0,0
"Shetland Islands",4,-20,-6,-12,-16,33.3333333333333,-0.105757155132527
"Aberdeenshire",-182,-179,-129,-545,-19,-96.5137614678899,-0.10324403629843
"Clackmannanshire",0,-10,-18,-21,-19,-9.52380952380952,-0.750098697197
"Na h-Eileanan an Iar",-83,-41,-47,-95,-64,-32.6315789473684,-0.944928392145283
"Stirling",525,379,409,-866,-82,-90.5311778290993,-0.969381723607991
"West Dunbartonshire",-98,-91,-104,-91,-98,7.69230769230769,-1.93484698914116
"Orkney Islands",15,14,16,-89,-114,28.0898876404494,-0.911489565843128
"East Dunbartonshire",-190,82,176,-227,-120,-47.136563876652,-1.35838804618519
"Angus",-159,212,383,-72,-139,93.0555555555556,-1.0705483672212
"Midlothian",-211,-164,-104,-156,-156,0,-2.60913196186653
"West Lothian",-144,-173,-175,-169,-156,-7.69230769230769,-1.07906204606765
"Inverclyde",-1,44,23,-261,-204,-21.8390804597701,-4.3580431531724
"East Renfrewshire",-143,-164,-258,-185,-208,12.4324324324324,-2.08312468703055
"Dumfries and Galloway",-196,-189,-192,-211,-214,1.4218009478673,-1.66149068322981
"Argyll and Bute",347,357,433,-270,-217,-19.6296296296296,-1.66003671970624
"North Ayrshire",-252,-204,-257,-265,-241,-9.0566037735849,-2.09056210964608
"Scottish Borders",-222,-147,-418,-338,-246,-27.2189349112426,-1.71655850952481
"Renfrewshire",597,504,444,-186,-250,34.4086021505376,-1.94491986930138
"South Lanarkshire",773,741,681,-1102,-367,-66.6969147005445,-1.38276628612336
"Total deficit",-1886,-1383,-1708,-16084,-2930,-81.7831385227555,-1.35026152676329
"Total surplus",46453,48355,50996.36189,14159,34065,140.589024648633,18.1378186697336
"Total",44567,46972,49288.36189,-1925,31135,NA,7.69131956710235
