"auth.name","2014","2015","2016","2017","2018","change","change.4","prop.income"
"Blaenau Gwent",261.541,340.438,866.175,483.275,323.1569,-33.1318814339662,5.43102126352901,818.118734177215
"Caerphilly",522.77,511.91,657.84,550.429,301.865,-45.1582311251769,-12.8282978880241,43.8499139314793
"Torfaen",63,86,87,82,115,40.2439024390244,16.235643083191,1916.66666666667
"Rhondda Cynon Taf",864.274,794.365,790.796,905.616,-69.144,-107.635024116182,NA,-5.22249849693798
"Vale of Glamorgan",637,578,632,686,-101,-114.723032069971,NA,-12.5154894671623
"Neath Port Talbot",1308,1167.756,1256.294,1331.721,-172.614,-112.961723964704,NA,-10.4458048305811
"Newport",556.245,502.5744,633.041,285.733,-181.212,-163.420045986988,NA,-27.913123844732
"Bridgend",1156.383,988.229,832.518,888.598,-204.34,-122.995775367489,NA,-16.8727664268775
"Merthyr Tydfil",651.133,518.726,504.046,510.397,-279.725,-154.805376990852,NA,-40.911138477019
"Isle of Anglesey",299,337,358,351,-303,-186.324786324786,NA,-44.4281524926686
"Flintshire",458.2992,861.707,725.8859,678.484,-321.412,-147.372082466204,NA,-44.5713461597131
"Wrexham",579.7368,580.3312,838.0524,812.1624,-402.687,-149.58207865816,NA,-37.7322618911529
"Denbighshire",767,842,1052.634,1052.62,-445.238,-142.298075278828,NA,-29.3944869574747
"Ceredigion",825.28,964.394,588.608,567.214,-486.015,-185.684591706129,NA,-45.9288974569784
"Monmouthshire",509.712,489.976,593.581,670.785,-778.198,-216.013029510201,NA,-53.8358300438187
"Pembrokeshire",1029,1200,1270,1319,-803,-160.879454131918,NA,-36.953520478601
"Powys",748,763,789,821.52,-860.117,-204.698242282598,NA,-51.1141366035592
"Carmarthenshire",2025.534,1712.004,1764.262,2114.892,-957.179,-145.259001405273,NA,-33.2102897255407
"Conwy",759.922,827.782,915.938,954.178,-1168.698,-222.482178377619,NA,-52.48395435186
"Gwynedd",1100,1130,1135,1157,-1562,-235.004321521175,NA,-57.9162031887282
"Swansea",3220,3044,3199,3086.619,-3280.923,-206.29504321719,NA,-47.0167117451104
"Cardiff",3474,3762.95,3940.961,4764.262,-4448.158,-193.365100407996,NA,-45.6734234167169
"Total",21815.83,22003.1426,23430.6323,24073.5054,-16084.6381,-166.81469039403,NA,-38.3615912102113
