"auth.name","2017","2018","2019","2020","2021","transport.total"
"Cardiff",3864.867,14187.209,13542.127,1153.513,8034.717,29656
"Swansea",2844.895,10259.129,9048.89,2725.104,6954.339,23162.23
"Gwynedd",1382,4259,4088,1805,4217,15720
"Conwy",949.307,3395.47,3624.405,963.647,3494.631,9393.241
"Pembrokeshire",597,2976,2824,938,3198,12671
"Carmarthenshire",920.176,3839.355,3469.845,-200.832,2637.705,17802.09
"Powys",831.251,2542.855,2623.917,568.3135,2552.3785,15952.85
"Vale of Glamorgan",51,908,846,555,2243,8696.669
"Denbighshire",464.066,1959.937,1991.4402,262.4127,2238.6548,9727.452
"Monmouthshire",863.961,2223.7,2168.142,501.153,2138.44,6229.068
"Ceredigion",487.802,1544.205,1878.0147,-337.758,1735.0003,12247.19
"Rhondda Cynon Taf",184.162,1393.108,2138.736,510.06,1636.562,19966.44
"Bridgend",250.039,1415.404,2035.945,238.122,1245.147,13348.46
"Newport",305.583,830.412,948.452,374.384,1212.387,13290.3
"Isle of Anglesey",288,985,872,171,1041,9006.58
"Neath Port Talbot",168.26,1825.086,1984.705,-680.361,591.989,14668.04
"Merthyr Tydfil",214.834,963.463,975.77,192.02,470.763,5732.403
"Flintshire",-107.574,1042.53,1286.925,-539.688,335.57,17674.48
"Wrexham",300.7016,1469.909,1536.6048,-467.8127,249.6472,9926.596
"Torfaen",-78,-109,-194,-166,-248.6,8435.3
"Blaenau Gwent",-453.064,-283.6569,-349.2382,-286.401,-283.3417,6237.414
"Caerphilly",90.994,386.54,1058.52684,-469.614,-339.015,15258.89
